"sum(2023)_Current Assets";"sum(2023)_Current Liabilities";"sum(2023)_End Cash Position";"sum(2023)_Net Income";"sum(2023)_Total Assets";"sum(2023)_Total Equity Gross Minority Interest";"sum(2023)_Total Liabilities Net Minority Interest";"sum(2023)_Total Revenue";"id";"cluster"
-0.28663215127201846;-0.29462071751681773;-0.17376442267849534;-0.09661301161518494;-0.1782393553780155;-0.2609918675288884;-0.15621481824247513;-0.30153325050295765;76;"cluster_0"
-0.28117237861829475;-0.25343336330115873;-0.1730434010237546;-0.08952001013152627;-0.17572072753016738;-0.2578920367965801;-0.15388321992873644;-0.2837032085300254;77;"cluster_0"
-0.32547122902645337;-0.3056696033298343;0.9601112959229895;0.4968198067315244;1.3247635095977477;1.6336022832060475;1.2257267700586032;0.5833814748664159;78;"cluster_0"
-0.32106085400550516;-0.2946758580393397;-0.17491716245936115;-0.09194234394014476;-0.17830936575876974;-0.24817846512216285;-0.15900347561036862;-0.28720619674189607;79;"cluster_0"
-0.31187031333741694;-0.26342824089813865;-0.17437866350360476;-0.08968658304341802;-0.17974173166357643;-0.27402855408386534;-0.1552432760584827;-0.2774317490707733;80;"cluster_0"
-0.32547122902645337;-0.3056696033298343;-0.12236506653446153;-0.09487269114683952;-0.13807050256079065;-0.21549919926061076;-0.11819569589075335;-0.2931805805037768;81;"cluster_0"
0.2787224942097994;0.22443032121859122;-0.0591161478638116;-0.7190681180243111;-0.09687923474159231;0.02086200700737203;-0.11926777166219266;0.3795721508960169;82;"cluster_0"
-0.07721516744596058;-0.2740003667075404;-0.14903233692348153;-0.09267135581146228;-0.14394026390836215;-0.11216104340869963;-0.1469757092926999;-0.2805735911154585;83;"cluster_0"
1.9976754680750703;-0.23972878208080414;-0.06861504597242854;0.18032501354373268;-0.02083703031988971;0.08435015767752269;-0.0425161391467062;-0.019561133267885035;84;"cluster_0"
-0.32547122902645337;-0.3056696033298343;-0.0328610709480489;-0.08170680559661077;-0.1203293403641968;-0.15518505789380085;-0.10989711045503694;-0.28251840401642997;85;"cluster_0"
-0.22194966919143663;-0.2319101162879713;-0.15880140572273282;-0.09882743379928031;-0.17684734133194424;-0.2584480643729315;-0.15510155355899413;-0.2993944489363518;86;"cluster_0"
2.443129494173127;2.579135775760614;0.12407831973290101;-0.04722798982663371;0.2957128024731806;1.3052113873010114;0.07499925184020091;0.42347481684719046;87;"cluster_0"
-0.32547122902645337;-0.3056696033298343;0.13219805260972334;-0.06402540960558249;-0.018155930421762223;-0.14323983771027107;0.00872007060326753;-0.2689197636791184;88;"cluster_0"
-0.325436113038345;-0.30560697858248187;-0.1749932457728834;-0.0993973551987501;-0.18444181618898886;-0.2793894395274761;-0.15968382777754056;-0.30592345017937683;89;"cluster_0"
-0.2733821869521244;-0.2720121364599972;-0.16367415622890122;-0.10703986587305185;-0.17118315277386706;-0.2390727914272526;-0.1524771831875034;-0.29362645099356466;90;"cluster_0"
-0.17249689693335943;-0.19116885854017515;-0.11485780678709097;-0.022320449889815318;-0.13275526949436411;-0.06377453958336957;-0.14393167557443098;-0.09994535820129982;91;"cluster_0"
-0.024516843860122664;-0.25317727603547086;-0.11126392991367454;0.0019542685777588728;-0.15784059066001993;-0.14743128679837816;-0.15600871522176707;-0.19888821910662077;92;"cluster_0"
-0.32547122902645337;-0.3056696033298343;1.261628038514612;0.2032125955183575;1.0996543399384977;0.31215397203178874;1.237865615449852;0.12630609113479174;93;"cluster_0"
-0.32547122902645337;-0.3056696033298343;0.8247313752151634;0.15075426511951515;0.5238006666517653;0.18587101238667256;0.5817838499121909;-0.046347755199583986;94;"cluster_0"
-0.3194404342920749;-0.2848867516730169;-0.17476601512280557;-0.10528338285306965;-0.17927862439251552;-0.264786215692275;-0.15664579658387154;-0.30447179300487254;95;"cluster_0"
0.03976594968927027;0.09454112922626698;-0.16168710281318968;-0.04285340927715907;-0.04882855422867935;0.30036273139029745;-0.1213163957902374;-0.22580764720611823;96;"cluster_0"
-0.32547122902645337;-0.3056696033298343;-0.06220548042901053;-0.0876140468244359;-0.10429521113940748;-0.09976799883754636;-0.10258837101373305;-0.2719108143552946;97;"cluster_0"
-0.3254691971111615;-0.30566857032495975;-0.17499363993933395;-0.09939473282316574;-0.18444889004473708;-0.27940776533253375;-0.15968834509021576;-0.3059236689525241;98;"cluster_0"
-0.2970392219177716;-0.17727571883454155;-0.1642459029341287;-0.10172050586562859;-0.16985948807159637;-0.2618697249608361;-0.14609405844531037;-0.25648625334430425;99;"cluster_0"
-0.32547122902645337;-0.3056696033298343;-0.07445961954635259;-0.08863425066223794;-0.0503351102387764;-0.02199025786676594;-0.055035226912646965;-0.27771314317094997;100;"cluster_0"
-0.23666797557323802;-0.23118843180133972;-0.1369557584500503;-0.09514380157558047;-0.16342352771388738;-0.21048414476864374;-0.1493138843271388;-0.23661151272020758;101;"cluster_0"
-0.32547122902645337;-0.3056696033298343;14.733350956966756;9.269569043653043;14.642903089193966;10.729163746218575;15.095467108964943;5.43386662092263;102;"cluster_1"
-0.19048755254891167;-0.21452166351642502;-0.16590111991410902;-0.06965393366191262;-0.17387061140507196;-0.24765990823370446;-0.15385026793396175;-0.12614855930435162;103;"cluster_0"
